Isolate_Id	Amikacin (AMI)	Meropenem (MER)	Levofloxacin	Colistin (COL or CST)	Cefepime (FEP)	Piperacillin	Polymyxin B	Fosfomycin	Chloramphenicol	Ciprofloxacin (CIP)	Ticarcillin (TIC)	Piperacillin/tazobactam (PIP/TZ)	Ceftazidime (CAZ)	Ceftolozane/tazobactam (TOL/TZ)	AztreoNAm (ATM) 	Imipenem (IMI)	Tobramycin (TOB)	Doripenem	Gentamicin
AZPAE12135	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12136	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12137	R	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12138	R	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12140	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12142	R	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12143	S	I	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12145	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12146	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12147	R	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12148	I	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12149	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12150	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12151	R	I	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12153	R	I	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12154	R	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE12155	S	S	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
