Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
ADH03009.1	HM036080	AAC(1)	aminoglycoside antibiotic	antibiotic inactivation
AAA03550.1	L06156	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
AAC44793.1	U41471	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
CCP42991.1	AL123456	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
AAB41701.1	U72743	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
NP_302635.1	NC_002677.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
APB03221.1	KX531051.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
AAG15269.1	U12338	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA88422.1	L06157	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAL82588.1	AF355189	AAC(3);AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAD53575.1	AJ511268	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAR21614.1	AY458224	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
CAA31895.1	X13543.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA26548.1	M97172	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
CAA38525.1	X54723	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
CAA39184.1	X55652	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA25682.1	L06160	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA25683.1	L06161	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
ABB43029.1	DQ241380.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA25334.1	M55427	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA16194.1	M88012	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA88552.1	M22999	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAA26685.1	M55426	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
BAA78619.1	AB028210	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAK26252.2	AF263519	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ACI31326.1	EU118148	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAE48335.2	AJ584652	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAK55557.1	AM283489	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ABR10839.1	EF614235	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AEZ05106.1	JN596280	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
APB03223.1	KX531053.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAP43642.1	AY289608	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA98298.1	M18967	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
NP_460578.1	NC_003197	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAD12078.1	AB119105	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAD14386.1	AB104852	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAH66386.1	AB462903	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ACI28880.1	EU886977	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAM46120.1	AB709942	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAO21229.1	AB894482	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AFJ11384.1	JQ808129	AAC(3);AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAT74613.1	AY660529.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAC46343.1	U59183	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAN41403.1	AY136758	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ACS44715.1	FJ854362	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAL38577.1	AF445082	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AKN19287.1	Y11946.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
YP_009062819.1	NC_025003.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD02244.1	AF043381	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ABC17627.1	DQ303918	AAC(6')	fluoroquinolone antibiotic;aminoglycoside antibiotic	antibiotic inactivation
ACL37342.1	FJ503047	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAD11815.1	AB164230	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ABU55430.1	EU085533	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA26549.1	M94066	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
NP_863643.1	NC_005024	APH(2'');AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAA39038.1	X55353	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA21889.1	L09246	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAC41391.1	L29044	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAB63533.1	L12710	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAM92464.1	AY123251	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA25680.1	L06163	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD46626.1	AF162771	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AGL46466.1	KC543497.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAE50925.1	AJ584700	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
CAE50926.1	AJ584701	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAC41392.1	L29045	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAA87229.1	L29510	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAK63041.1	AF337947	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAC25500.1	AF047556	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03490.1	AF031326	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03491.1	AF031327	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
BAD10948.2	AB116646	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03492.1	AF031328	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03493.1	AF031329	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03494.1	AF031330	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03495.1	AF031331	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD03496.1	AF031332	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAF03531.1	AF144880	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAD52985.1	AF140221	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
AAU10334.1	AY712687	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
YP_001715321.1	NC_010410	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAV32840.1	AY758206	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ACJ47200.1	FJ381668	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
YP_009081591.1	NG_036525	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAI57696.1	AJ884726	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ABD58917.1	DQ393783	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ACF17980.1	EU675686	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ACK43806.1	FJ460181	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAF27727.1	AF156486	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAN87151.1	AY171244	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAK12750.1	AM261837	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAH10847.1	AJ809407	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ABG72894.1	DQ677333	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
